Course Name,Course Code,Location,Duration,Credit Points,Course Url
Bachelor of Environments,B-ENVS,"Parkville, On Campus",36 months full-time or 72 months part-time,300,https://handbook.unimelb.edu.au/2024/courses/b-envs
Bachelor of Arts,B-ARTS,"Parkville, On Campus",36 months full-time or 72 months part-time,300,https://handbook.unimelb.edu.au/2024/courses/b-arts
Bachelor of Science,B-SCI,"Parkville, On Campus",36 months full-time or 72 months part-time,300,https://handbook.unimelb.edu.au/2024/courses/b-sci
Bachelor of Agriculture,B-AGR,"Parkville, On Campus",36 months full-time or 72 months part-time,300,https://handbook.unimelb.edu.au/2024/courses/b-agr
Bachelor of Commerce,B-COM,"Parkville, On Campus",36 months full-time or 72 months part-time,300,https://handbook.unimelb.edu.au/2024/courses/b-com
Bachelor of Music,B-MUS,"Southbank, On Campus",36 months full-time or 72 months part-time,300,https://handbook.unimelb.edu.au/2024/courses/b-mus
Bachelor of Design,B-DES,"Parkville, On Campus",36 months full-time or 72 months part-time,300,https://handbook.unimelb.edu.au/2024/courses/b-des
Bachelor of Biomedicine,B-BMED,"Parkville, On Campus",36 months full-time or 72 months part-time,300,https://handbook.unimelb.edu.au/2024/courses/b-bmed
Master of Clinical Research,N01AA,"Parkville, On Campus",18 months full-time or 36 months part-time,150,https://handbook.unimelb.edu.au/2024/courses/n01aa
Graduate Diploma in Clinical Education,GD-CLINED,"Parkville, On Campus",24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-clined
"Doctor of Philosophy - Medicine, Dentistry and Health Sciences",DR-PHILMDH,"Parkville, On Campus","4 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/dr-philmdh
Graduate Certificate in Clinical Education,GC-CLINED,"Parkville, Mixed Attendance Mode",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-clined
Master of Primary Health Care,546AA,"Parkville, On Campus","2 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/546aa
Graduate Certificate in Primary Care Nursing,GC-PCN,"Parkville, Mixed Attendance Mode",6 months full-time or 12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-pcn
Master of Commerce (Actuarial Science),MC-COMACTS,"Parkville, On Campus",18 months full-time or 36 months part-time,150,https://handbook.unimelb.edu.au/2024/courses/mc-comacts
Master of Philosophy - MDHS (Medicine),MR-PHILMED,"Parkville, On Campus","2 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/mr-philmed
Master of Clinical Education,MC-CLINED,"Parkville, On Campus",36 months part-time,150,https://handbook.unimelb.edu.au/2024/courses/mc-clined
Master of Genetic Counselling,MC-GENCOUN,"Parkville, On Campus",24 months full-time or 36 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-gencoun
Specialist Certificate in Paediatric Critical Care Nursing,SC-PAECCN,Online,6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/sc-paeccn
Doctor of Optometry,MC-DOPTOM,"Parkville, On Campus",48 months full-time,400,https://handbook.unimelb.edu.au/2024/courses/mc-doptom
Graduate Certificate in English for the Global Workplace,GC-ENGGWRK,"Parkville, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-enggwrk
Master of Philosophy - Law,MR-PHILLAW,"Parkville, On Campus","2 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/mr-phillaw
Master of Analytics Management,MC-ANAMGT,"Parkville, On Campus",18 months full-time,150,https://handbook.unimelb.edu.au/2024/courses/mc-anamgt
Doctor of Laws,DH-LLD,,0 months full-time or 0 months part-time,None,https://handbook.unimelb.edu.au/2024/courses/dh-lld
Master of Entrepreneurship (Enhanced),MC-ETRENH,"Parkville, On Campus",18 months full-time or 36 months part-time,150,https://handbook.unimelb.edu.au/2024/courses/mc-etrenh
Graduate Diploma in Biomedical Science,GD-BMEDSC,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-bmedsc
Graduate Certificate in Bushfire Planning and Management,GC-BFIREPM,"Parkville, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-bfirepm
Graduate Diploma in Computer Science,GD-CS,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-cs
Graduate Certificate in Aboriginal Health in Rural Communities,GC-AHRC,"Shepparton, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-ahrc
Master of Theatre (Writing),MC-THTRWRI,"Southbank, On Campus",12 months full-time,100,https://handbook.unimelb.edu.au/2024/courses/mc-thtrwri
Master of Philosophy - Science,MR-PHILSCI,"Parkville, On Campus","2 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/mr-philsci
Graduate Certificate in Physiotherapy (Exercise and Women's Health),GC-PHTYEWH,"Parkville, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-phtyewh
Master of Science (Epidemiology),MC-SCIEPI,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-sciepi
Master of Entrepreneurship,MC-ENTRPSP,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/mc-entrpsp
Graduate Certificate in Agricultural Sciences,GC-AGSC,"Parkville, On Campus",6 months full-time or 12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-agsc
Doctor of Philosophy - Business and Economics,DR-PHILBE,"Parkville, On Campus","4 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/dr-philbe
Bachelor of Agriculture (Degree with Honours),BH-AGR,"Parkville, On Campus",12 months full-time,100,https://handbook.unimelb.edu.au/2024/courses/bh-agr
Specialist Certificate in Empowering Health in Aboriginal Communities,SC-EHAC,"Shepparton, On Campus",12 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/sc-ehac
Specialist Certificate in Public Health,SC-PUBHLTH,"Parkville, Mixed Attendance Mode",6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/sc-pubhlth
Graduate Certificate in Supply Chain and Operations Management,GC-SCOM,"Parkville, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-scom
Specialist Certificate in Research Practice (HASS),SC-RPHASS,Off Campus,6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/sc-rphass
Master of Theatre (Directing),MC-THTRDIR,"Southbank, On Campus",24 months full-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-thtrdir
Master of Actuarial Science (Extended),MC-ACTSCEX,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-actscex
Graduate Certificate in Public Health,GC-PUBHLTH,"Parkville, Mixed Attendance Mode",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-pubhlth
Master of Actuarial Science,MC-ACTSC,"Parkville, On Campus",18 months full-time or 36 months part-time,150,https://handbook.unimelb.edu.au/2024/courses/mc-actsc
Doctor of Music,DH-MUS,,0 months full-time or 0 months part-time,None,https://handbook.unimelb.edu.au/2024/courses/dh-mus
Master of Psychology (Clinical Neuropsychology)/Doctor of Philosophy,080CN,"Parkville, On Campus","4 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/080cn
Doctor of Agricultural Science,DH-AGRSC,,0 months full-time or 0 months part-time,None,https://handbook.unimelb.edu.au/2024/courses/dh-agrsc
Graduate Certificate in Professional Skills for Scientists,GC-PROFSC,"Parkville, On Campus",6 months full-time or 12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-profsc
Doctor of Philosophy - Science,DR-PHILSCI,"Parkville, On Campus","4 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/dr-philsci
Doctor of Philosophy - Agricultural Sciences,DR-PHILAGR,"Parkville, On Campus","4 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/dr-philagr
Graduate Certificate in Adolescent Health and Wellbeing,GC-ADOLHW,Online,12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-adolhw
Specialist Certificate in Public Administration (Advanced),SC-PAADV,Off Campus,12 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/sc-paadv
Doctor of Veterinary Science,DH-VSC,,0 months full-time or 0 months part-time,None,https://handbook.unimelb.edu.au/2024/courses/dh-vsc
Specialist Certificate in Urban and Cultural Heritage,SC-UCH,"Parkville, On Campus",6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/sc-uch
Graduate Certificate in Sustainable Business,GC-SUSTBUS,"Parkville, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-sustbus
Graduate Certificate in Green Infrastructure,GC-GRINFRA,"Burnley, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-grinfra
Graduate Diploma in Economics,GD-ECO,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-eco
Doctor of Philosophy - Indigenous Knowledge,DR-PHILIK,"Parkville, On Campus","4 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/dr-philik
Graduate Diploma in Property Valuation,702PA,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/702pa
Graduate Diploma in Clinical Psychology,GD-CLINPSY,"Parkville, On Campus",24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-clinpsy
Graduate Certificate in Green Infrastructure,GC-GRINFRA,"Burnley, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-grinfra
Graduate Diploma in Property Valuation,702PA,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/702pa
Graduate Diploma in Economics,GD-ECO,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-eco
Specialist Certificate in Research Practice for Scientists,SC-RESPRSC,Off Campus,6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/sc-resprsc
Master of Advanced Nursing Practice (Nurse Practitioner),MC-ANPNP,"Parkville, On Campus",24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/mc-anpnp
Doctor of Visual and Performing Arts,DH-VPA,,0 months part-time or 0 months full-time,None,https://handbook.unimelb.edu.au/2024/courses/dh-vpa
Master of Applied Econometrics,MC-AEMTRCS,"Parkville, On Campus",18 months full-time or 36 months part-time,150,https://handbook.unimelb.edu.au/2024/courses/mc-aemtrcs
Graduate Certificate in Visual Art,842AA,"Southbank, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/842aa
Graduate Diploma in Actuarial Science,GD-ACTSC,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-actsc
Graduate Diploma in Agricultural Sciences,GD-AGSC,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-agsc
Graduate Certificate in Marketing,423AA,"Parkville, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/423aa
Master of Energy Systems,MC-ENGYSYS,"Parkville, On Campus",18 months full-time or 36 months part-time,150,https://handbook.unimelb.edu.au/2024/courses/mc-engysys
Master of Speech Pathology,MC-SPCHPTH,"Parkville, On Campus",24 months full-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-spchpth
Graduate Diploma in Journalism (Advanced),GDA-JOURN,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gda-journ
Graduate Certificate in Business Analytics,GC-BUSANA,"Parkville, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-busana
Professional Certificate in Introductory Academic Program,PR-IAP,"Parkville, On Campus",6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/pr-iap
Specialist Certificate in Disaster and Terror Medicine,SC-DTM,"Parkville, On Campus",6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/sc-dtm
Graduate Certificate in Entrepreneurship,GC-ENTR,"Parkville, On Campus",6 months full-time or 12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-entr
Master of Screenwriting,MC-SCWR,"Southbank, On Campus",18 months full-time,150,https://handbook.unimelb.edu.au/2024/courses/mc-scwr
Master of Business Administration/Master of Marketing,MC-BAMKTG,"Parkville, On Campus",24 months full-time,300,https://handbook.unimelb.edu.au/2024/courses/mc-bamktg
Master of Theatre (Dramaturgy),MC-THTRDRA,"Southbank, On Campus",18 months full-time or 36 months part-time,150,https://handbook.unimelb.edu.au/2024/courses/mc-thtrdra
Master of Geoscience,MC-GEOSC,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-geosc
Master of Economics,MC-ECO,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-eco
Master of Philosophy - Agricultural Sciences,MR-PHILAGR,"Parkville, On Campus","2 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/mr-philagr
Graduate Certificate in Physiotherapy (Paediatrics),GC-PHTYPAE,"Parkville, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-phtypae
Master of Philosophy - Veterinary Science,MR-PHILVET,"Parkville, On Campus","2 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/mr-philvet
Graduate Certificate in Business Analytics,GC-BUSANA,"Parkville, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-busana
Master of Marketing,294FN,"Parkville, On Campus",12 months full-time,162,https://handbook.unimelb.edu.au/2024/courses/294fn
Graduate Diploma in Business Analytics,GD-BUSANA,"Parkville, On Campus",24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-busana
Master of Actuarial Science (Enhanced),MC-ACTSCEN,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-actscen
Graduate Diploma in Built Environments (Advanced),GDA-BLTENV,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gda-bltenv
Master of Psychology (Clinical Psychology),527CL,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/527cl
Master of Advanced Nursing Practice (Nurse Practitioner),MC-ANPNP,"Parkville, On Campus",24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/mc-anpnp
Graduate Certificate in Visual Art,842AA,"Southbank, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/842aa
Graduate Diploma in Actuarial Science,GD-ACTSC,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-actsc
Graduate Certificate in Domestic & Gender-Based Violence Research and Practice,GC-DGBVRP,Online,12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-dgbvrp
Diploma in Mathematical Sciences,D-MATHSC,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/d-mathsc
Graduate Diploma in Agricultural Sciences,GD-AGSC,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-agsc
Doctor of Visual and Performing Arts,DH-VPA,,0 months part-time or 0 months full-time,None,https://handbook.unimelb.edu.au/2024/courses/dh-vpa
Graduate Certificate in Physiotherapy (Pelvic Floor Physiotherapy),GC-PHTYPFP,"Parkville, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-phtypfp
Graduate Diploma in Built Environments (Advanced),GDA-BLTENV,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gda-bltenv
Graduate Diploma in Psychology (Advanced),GDA-PSYCH,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gda-psych
Master of Applied Econometrics (Enhanced),MC-AECOENH,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-aecoenh
Master of Science (Earth Sciences),MC-SCIEAR,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-sciear
Graduate Certificate in Domestic & Gender-Based Violence Research and Practice,GC-DGBVRP,Online,12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-dgbvrp
Diploma in Mathematical Sciences,D-MATHSC,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/d-mathsc
Graduate Diploma in Veterinary Professional Leadership and Management,GD-VPLMGT,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-vplmgt
Master of Business Administration/Master of Marketing,MC-BAMKTG,"Parkville, On Campus",24 months full-time,300,https://handbook.unimelb.edu.au/2024/courses/mc-bamktg
Master of Engineering Structures,746ST,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/746st
Master of Science (Physics),MC-SCIPHY,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-sciphy
Professional Certificate in Supply Chain Management,PR-SCM,Online,6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/pr-scm
Professional Certificate in Analytics Management,PR-ANAMGT,"Parkville, On Campus",6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/pr-anamgt
Master of Geoscience,MC-GEOSC,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-geosc
Master of Economics,MC-ECO,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-eco
Master of Philosophy - Agricultural Sciences,MR-PHILAGR,"Parkville, On Campus","2 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/mr-philagr
Graduate Certificate in Physiotherapy (Paediatrics),GC-PHTYPAE,"Parkville, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-phtypae
Master of Theatre (Dramaturgy),MC-THTRDRA,"Southbank, On Campus",18 months full-time or 36 months part-time,150,https://handbook.unimelb.edu.au/2024/courses/mc-thtrdra
Master of Philosophy - Veterinary Science,MR-PHILVET,"Parkville, On Campus","2 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/mr-philvet
Master of Industrial Research (Chemistry),MR-IRCHEM,"Parkville, On Campus","2 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/mr-irchem
Graduate Certificate in Sexual Health,GC-SEXHLTH,"Parkville, Mixed Attendance Mode",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-sexhlth
Graduate Diploma in Business Analytics,GD-BUSANA,"Parkville, On Campus",24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-busana
Master of Marketing,294FN,"Parkville, On Campus",12 months full-time,162,https://handbook.unimelb.edu.au/2024/courses/294fn
Graduate Certificate in Design for Health and Wellbeing,GC-DHW,"Parkville, Mixed Attendance Mode",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-dhw
Master of Philosophy - Law,MR-PHILLAW,"Parkville, On Campus","2 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/mr-phillaw
Master of Psychology (Clinical Neuropsychology),527CN,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/527cn
Master of Analytics Management,MC-ANAMGT,"Parkville, On Campus",18 months full-time,150,https://handbook.unimelb.edu.au/2024/courses/mc-anamgt
Graduate Diploma in Analytics Management,GD-ANAMGT,"Parkville, On Campus",12 months full-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-anamgt
Master of Environmental Science,MC-ENVSC,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-envsc
Doctor of Medicine,MC-DMED,"Parkville, On Campus",48 months full-time,400,https://handbook.unimelb.edu.au/2024/courses/mc-dmed
Graduate Certificate in Arboriculture,GC-ARBCULT,"Burnley, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-arbcult
Graduate Diploma in Perioperative Medicine,GD-PERIMED,Online,12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-perimed
Master of Clinical Ultrasound,MC-CU,Online,18 months full-time or 36 months part-time,150,https://handbook.unimelb.edu.au/2024/courses/mc-cu
Graduate Diploma in Clinical Research,N34AA,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/n34aa
Master of Climate Science,MC-CLIMSCI,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-climsci
Graduate Certificate in Clinical Research,N12AA,"Parkville, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/n12aa
