Course Code,"Majors, Minors & Specialisations"
B-ENVS,"Majors, minors & specialisations Architecture is the art and science of designing buildings and other physical structures. Architects integrate knowledge from the diverse fields and are skilled in understanding how concepts of place and space contribute to quality environments. Construction explores the management of people, processes and materials on specific building projects as well as construction methods and techniques used across the building industry. Engineering Systems involves the planning, design and construction of the built environment for the provision of essential services and infrastructure in a manner that respects and works with the natural and social environmental contexts in which it occurs. Environmental Geographies focuses on humanity’s changing relationship with the natural environment. Environmental Science gives students the skills to identify and understand the causes of environmental problems triggered by human activity. Landscape Architecture is the design profession which explores cultural, ecological and social issues in urban, rural and natural environments. Landscape Management explores rural and urban ecosystems and the human activities that shape these systems. Property is concerned with the worth and management of assets, and the people, processes and finance related to specific buildings and the property industry. Spatial Systems is the study of the science and technologies of 3D measurement, mapping and visualisation. Urban Design and Planning is founded upon the social, environmental, political, aesthetic and economic importance of design and planning in the public realm, serving the public interest. From 2016 double majors are available for certain majors within the Bachelor of Environments. Further information about double majors can be found at: http://edsc.unimelb.edu.au/double-majors Major and Minor : The introduction of minors is intended as a guide for students interested in a sequence of study in an area other than their major. A minor is a sequence of subjects that offer a secondary area of study in a specific field. These minor sequences are usually undertaken as electives, with breadth spaces used as required. Minors are not reflected in student’s study plans, and will not appear on student transcripts. Minors may in some instances offer limited credit into a 300 point program. Further information about Minors in the Bachelor of Environments can be found at: http://edsc.unimelb.edu.au/minors. Majors These majors are offered from 2015. PRE-2015 STUDENTS :If you commenced your degree pre 2015, you may not find your major on the list below. Students who commenced the Bachelor of Environments prior to 2015 should refer to the handbook entry for the year they commenced in conjunction with the 2015 handbook listings for Environments elective and Breadth subject listings. View 2014 Bachelor of Environments Handbook entry |*Architecture, Construction, Engineering Systems, Environmental Science, Environmental Geography, Landscape Architecture, Landscape Ecosystem Management, Property, Spatial Systems, Urban Design and Planning*| Environments discipline subjects |*Environments Discipline subjects*| Prev: Course structure Next: Further study Last updated: 9 October 2024"
B-ARTS,"Majors, minors & specialisations Major rules: Each major must include at least 25 credit points at Level 1 in each discipline Non-language majors, except for Economics and Psychology, can include the Arts Discovery subject as a Level 1 subject Subjects, including Arts Discovery, cannot be credited to more than one major or minor Some majors include prerequisites and compulsory subjects All majors include a compulsory Capstone Subject at level 3; only students completing a major in that discipline can enrol in the Capstone Students considering two majors must ensure subject selection follows the progression rules in each discipline – complete all required level 1 subjects before enrolling in level 2 subjects, and complete four level 2 subjects before enrolling in level 3 subjects. Majors are available in the following areas of study: |*Ancient World Studies, Anthropology, Arabic Studies, Art History, Asian Studies, Chinese Studies, Classics (Ancient Greek and Latin), Creative Writing, Criminology, Economics, English and Theatre Studies, French Studies, Gender Studies, Geography, German Studies, Hebrew and Jewish Studies, History, History and Philosophy of Science, Indigenous Studies, Indonesian Studies, Islamic Studies, Italian Studies, Japanese Studies, Korean Studies, Linguistics and Applied Linguistics, Media and Communications, Philosophy, Politics and International Studies, Psychology, Russian Studies, Screen and Cultural Studies, Sociology, Spanish and Latin American Studies*| Minors are available in the following areas of study: |*Ancient World Studies minor, Anthropology minor, Arabic Studies minor, Art History minor, Asian Studies minor, Chinese Societies minor, Chinese Studies minor, Classics (Ancient Greek and Latin) minor, Creative Writing minor, Criminology minor, Development Studies minor, Digital Studies minor, Economics minor, English and Theatre Studies minor, English Language Studies minor, Environmental Studies minor, European Studies minor, French Studies minor, Gender Studies minor, Geography minor, German Studies minor, Hebrew and Jewish Studies minor, History minor, History and Philosophy of Science minor, Indigenous Studies minor, Indonesian Studies minor, Islamic Studies minor, Italian Studies minor, Japanese Societies minor, Japanese Studies minor, Knowledge and Learning minor, Korean Studies minor, Law and Justice minor, Linguistics and Applied Linguistics minor, Media and Communications minor, Medieval and Early Modern Studies minor, Philosophy minor, Politics and International Studies minor, Psychology minor, Russian Studies minor, Screen and Cultural Studies minor, Sociology minor, South Asian Studies minor, Spanish and Latin American Studies minor*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
B-SCI,"Majors, minors & specialisations Majors Completion of 50 points of study at Level 3. A number of these science majors include specialisations. Descriptions of the specialisations are located within the majors. |*Agricultural Science, Animal Health and Disease, Animal Science and Management, Biochemistry and Molecular Biology, Biomedical Engineering Systems, Biotechnology, Cell and Developmental Biology, Chemical Engineering Systems, Chemistry, Civil Engineering Systems, Climate and Weather, Computational Biology, Computing and Software Systems, Data Science, Digital Infrastructure Engineering Systems, Ecology and Evolutionary Biology, Ecosystem Science, Electrical Engineering Systems, Environmental Engineering Systems, Environmental Science, Food Science, Genetics, Geography, Geology, Geoscience, Human Nutrition, Human Structure and Function, Immunology, Infection and Immunity, Informatics, Marine Biology, Mathematical Physics, Mathematics and Statistics, Mechanical Engineering Systems, Mechatronics Engineering Systems, Microbiology, Neuroscience, Pathology, Pharmacology, Physics, Physiology, Plant Science, Psychology, Spatial Systems, Veterinary Bioscience, Zoology*| Informatics major Students who commenced this course prior to 2018 and are planning to complete the Informatics majors may continue to do so. Students interested in Informatics are encouraged to explore the Computing and Software Systems or Data Science majors, as well as the concurrent Diploma in Computing. Computational Biology major Please note that this major is no longer being offered to students from 2022 onwards. Students who commenced this major prior to 2022 and are planning to complete the Computational Biology major may continue to do so. Spatial System major Please note that this major is no longer being offered to students from 2023 onwards. Students who commenced this major prior to 2023 and are planning to complete the Spatial Systems major may continue to do so. Students interested in spatial engineering systems can explore the Digital Infrastructure Engineering Systems major. Geology major Please note that this major is no longer being offered to students from 2024 onwards. Students who commenced this major prior to 2024 and are planning to complete the Geology major may continue to do so. Students interested in geology are encouraged to explore the Geoscience major. Special Arrangements In the case of the study area of History and Philosophy of Science (HPS), students who seek to undertake further subjects in order to complete the equivalent of a major in HPS will be permitted to take up to 25 points of additional breadth study in HPS, replacing 25 points of the science requirements of the BSc. For a BSc student, the equivalent of a major in HPS is the completion of 100 points of HPS subjects (25 points at Level 1, 37.5 points at Level 2 and 37.5 points at Level 3 including HPSC30035 The Dynamics of Scientific Change. These students will be required to satisfy all other completion requirements of the BSc. This arrangement is only available to students who have not completed any other breadth subjects for credit in the BSc. In order to complete the 112.5 points required at Level 3 within this arrangement (i.e. across science and HPS studies), students should consider undertaking a Level 3 HPS subject in the second year of their course. Students who entered the BSc prior to 2015 should refer the handbook entry of the year they commenced. Prev: Course structure Next: Further study Last updated: 9 October 2024"
B-AGR,"Majors, minors & specialisations Majors Each major is comprised of 37.5 credit points of Level 3 subjects. The combination of subjects available within each major differentiate it from other majors. Students will need to complete Level 2 prerequisites prior to enrolment in the Level 3 subjects of the major. |*Agricultural Economics, Plant and Soil Science, Production Animal Science*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
B-COM,"Majors, minors & specialisations Majors are available in the following areas of study: |*Accounting, Actuarial Studies, Economics, Finance, Management, Marketing*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
B-MUS,"Majors, minors & specialisations Students may apply to transfer between Performance, Composition, Musicology & Ethnomusicology, and Music Studies, subject to meeting entry requirements for the major. |*Composition, Interactive Composition, Jazz & Improvisation, Music Studies, Musicology & Ethnomusicology, Performance, Performance (ANAM)*| Prev: Course structure Next: Notes Last updated: 31 October 2024"
B-DES,"Majors, minors & specialisations Major requirement A major consists of 50 points of study at third year level within a single discipline. A discipline is an area of knowledge, such as Architecture or Spatial Systems. Please note that access to third year subjects in majors is often controlled through prerequisite chains, with prerequisite sequences for majors often beginning in first year – please refer to each major’s Handbook entry for more details. Students must complete at least one major. A maximum of two majors may be recognised. Double majors are only available in selected disciplines. Further information about double majors can be found at this link: Link Specialisation requirements A specialisation consists of 25 points of study at third year level. First and second year-level prerequisite subjects may be required – please refer to each specialisation’s Handbook entry for more details. Specialisations are a short sequence of subjects that focus particular themes relevant across multiple disciplines. Subjects in specialisations do not form part of any existing major but are distinctive and are complementary to a student’s major. Completions of specialisations may support a research pathway, lead to accreditation with industry bodies or may increase employment opportunities. Majors are available in the following areas of study |*Architecture, Civil Engineering Systems, Computing and Software Systems, Construction, User Experience Design, Graphic Design, Landscape Architecture, Mechanical Engineering Systems, Performance Design, Property, Spatial Systems, Urban Planning, Digital Infrastructure Engineering Systems*| Specialisations are available in the following areas of study |*Building Information Modelling, Design Histories, Design Visualisation, Environmental Design, Event Design, Towards Practice, Transport Design, Typography, Working with First Peoples Design Knowledge*| Prev: Course structure Next: Further study Last updated: 31 October 2024"
B-BMED,"Majors, minors & specialisations Bachelor of Biomedicine - Majors Completion of 50 credit points of study at Level 3 The subjects taken in the major would normally follow on from relevant compulsory and elective subjects chosen at the second year level. Some Level 3 subjects require discipline electives as prerequisites. |*Biochemistry and Molecular Biology, Biomedical Engineering Systems, Biotechnology, Cell and Developmental Biology, Genetics, Human Nutrition, Human Structure and Function, Immunology, Infection and Immunity, Microbiology, Neuroscience, Pathology, Pharmacology, Physiology, Psychology, Public Health and Epidemiology*| Prev: Course structure Next: Further study Last updated: 9 October 2024"
N01AA,"Majors, minors & specialisations Last updated: 10 November 2023"
GD-CLINED,"Majors, minors & specialisations Last updated: 8 October 2024"
DR-PHILMDH,"Majors, minors & specialisations Last updated: 17 October 2024"
GC-CLINED,"Majors, minors & specialisations Last updated: 10 November 2023"
546AA,"Majors, minors & specialisations Last updated: 17 October 2024"
GC-PCN,"Majors, minors & specialisations Last updated: 10 November 2023"
MC-COMACTS,"Majors, minors & specialisations Last updated: 10 November 2023"
MR-PHILMED,"Majors, minors & specialisations Last updated: 17 October 2024"
MC-CLINED,"Majors, minors & specialisations Last updated: 12 October 2024"
MC-GENCOUN,"Majors, minors & specialisations Last updated: 10 November 2023"
SC-PAECCN,"Majors, minors & specialisations Last updated: 14 December 2023"
MC-DOPTOM,"Majors, minors & specialisations Last updated: 19 December 2023"
GC-ENGGWRK,"Majors, minors & specialisations Last updated: 30 January 2024"
MR-PHILLAW,"Majors, minors & specialisations Last updated: 11 October 2024"
MC-ANAMGT,"Majors, minors & specialisations Last updated: 30 January 2024"
DH-LLD,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-ETRENH,"Majors, minors & specialisations Last updated: 30 January 2024"
GD-BMEDSC,"Majors, minors & specialisations Last updated: 15 October 2024"
GC-BFIREPM,"Majors, minors & specialisations Last updated: 30 January 2024"
GD-CS,"Majors, minors & specialisations Last updated: 30 January 2024"
GC-AHRC,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-THTRWRI,"Majors, minors & specialisations Last updated: 30 January 2024"
MR-PHILSCI,"Majors, minors & specialisations Last updated: 11 October 2024"
GC-PHTYEWH,"Majors, minors & specialisations Last updated: 5 September 2024"
MC-SCIEPI,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-ENTRPSP,"Majors, minors & specialisations Last updated: 30 January 2024"
GC-AGSC,"Majors, minors & specialisations Last updated: 30 January 2024"
DR-PHILBE,"Majors, minors & specialisations Last updated: 9 October 2024"
BH-AGR,"Majors, minors & specialisations Last updated: 30 January 2024"
SC-EHAC,"Majors, minors & specialisations Last updated: 30 January 2024"
SC-PUBHLTH,"Majors, minors & specialisations Last updated: 30 January 2024"
GC-SCOM,"Majors, minors & specialisations Last updated: 30 January 2024"
SC-RPHASS,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-THTRDIR,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-ACTSCEX,"Majors, minors & specialisations Last updated: 30 January 2024"
GC-PUBHLTH,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-ACTSC,"Majors, minors & specialisations Last updated: 30 January 2024"
DH-MUS,"Majors, minors & specialisations Last updated: 30 January 2024"
080CN,"Majors, minors & specialisations Last updated: 30 January 2024"
DH-AGRSC,"Majors, minors & specialisations Last updated: 30 January 2024"
GC-PROFSC,"Majors, minors & specialisations Last updated: 30 January 2024"
DR-PHILSCI,"Majors, minors & specialisations Last updated: 9 October 2024"
DR-PHILAGR,"Majors, minors & specialisations Last updated: 9 October 2024"
GC-ADOLHW,"Majors, minors & specialisations The Graduate Certificate in Adolescent Health and Wellbeing has two options for specialisation - the Health Promotion or the Oncology specialisation. Prev: Course structure Next: Further study Last updated: 30 January 2024"
SC-PAADV,"Majors, minors & specialisations Last updated: 30 January 2024"
DH-VSC,"Majors, minors & specialisations Last updated: 30 January 2024"
SC-UCH,"Majors, minors & specialisations Last updated: 30 January 2024"
GC-SUSTBUS,"Majors, minors & specialisations Last updated: 29 August 2024"
GC-GRINFRA,"Majors, minors & specialisations Last updated: 30 January 2024"
GD-ECO,"Majors, minors & specialisations Last updated: 30 January 2024"
DR-PHILIK,"Majors, minors & specialisations Last updated: 9 October 2024"
702PA,"Majors, minors & specialisations Last updated: 30 January 2024"
GD-CLINPSY,"Majors, minors & specialisations Last updated: 30 January 2024"
GC-GRINFRA,"Majors, minors & specialisations Last updated: 30 January 2024"
702PA,"Majors, minors & specialisations Last updated: 30 January 2024"
GD-ECO,"Majors, minors & specialisations Last updated: 30 January 2024"
SC-RESPRSC,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-ANPNP,"Majors, minors & specialisations Last updated: 6 September 2024"
DH-VPA,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-AEMTRCS,"Majors, minors & specialisations Last updated: 30 January 2024"
842AA,"Majors, minors & specialisations Last updated: 30 January 2024"
GD-ACTSC,"Majors, minors & specialisations Last updated: 30 January 2024"
GD-AGSC,"Majors, minors & specialisations Last updated: 30 January 2024"
423AA,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-ENGYSYS,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-SPCHPTH,"Majors, minors & specialisations Last updated: 30 January 2024"
GDA-JOURN,"Majors, minors & specialisations Last updated: 16 October 2024"
GC-BUSANA,"Majors, minors & specialisations Last updated: 30 January 2024"
PR-IAP,"Majors, minors & specialisations Last updated: 30 January 2024"
SC-DTM,"Majors, minors & specialisations Last updated: 30 January 2024"
GC-ENTR,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-SCWR,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-BAMKTG,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-THTRDRA,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-GEOSC,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-ECO,"Majors, minors & specialisations Last updated: 30 January 2024"
MR-PHILAGR,"Majors, minors & specialisations Last updated: 10 October 2024"
GC-PHTYPAE,"Majors, minors & specialisations Last updated: 5 September 2024"
MR-PHILVET,"Majors, minors & specialisations Last updated: 11 October 2024"
GC-BUSANA,"Majors, minors & specialisations Last updated: 30 January 2024"
294FN,"Majors, minors & specialisations Last updated: 30 January 2024"
GD-BUSANA,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-ACTSCEN,"Majors, minors & specialisations Last updated: 30 January 2024"
GDA-BLTENV,"Majors, minors & specialisations Last updated: 30 January 2024"
527CL,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-ANPNP,"Majors, minors & specialisations Last updated: 6 September 2024"
842AA,"Majors, minors & specialisations Last updated: 30 January 2024"
GD-ACTSC,"Majors, minors & specialisations Last updated: 30 January 2024"
GC-DGBVRP,"Majors, minors & specialisations Last updated: 30 January 2024"
D-MATHSC,"Majors, minors & specialisations Last updated: 30 January 2024"
GD-AGSC,"Majors, minors & specialisations Last updated: 30 January 2024"
DH-VPA,"Majors, minors & specialisations Last updated: 30 January 2024"
GC-PHTYPFP,"Majors, minors & specialisations Last updated: 30 January 2024"
GDA-BLTENV,"Majors, minors & specialisations Last updated: 30 January 2024"
GDA-PSYCH,"Majors, minors & specialisations Psychology Prev: Course structure Next: Further study Last updated: 30 January 2024"
MC-AECOENH,"Majors, minors & specialisations Last updated: 13 September 2024"
MC-SCIEAR,"Majors, minors & specialisations Last updated: 30 January 2024"
GC-DGBVRP,"Majors, minors & specialisations Last updated: 30 January 2024"
D-MATHSC,"Majors, minors & specialisations Last updated: 30 January 2024"
GD-VPLMGT,"Majors, minors & specialisations Last updated: 16 October 2024"
MC-BAMKTG,"Majors, minors & specialisations Last updated: 30 January 2024"
746ST,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-SCIPHY,"Majors, minors & specialisations Last updated: 30 January 2024"
PR-SCM,"Majors, minors & specialisations Last updated: 30 January 2024"
PR-ANAMGT,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-GEOSC,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-ECO,"Majors, minors & specialisations Last updated: 30 January 2024"
MR-PHILAGR,"Majors, minors & specialisations Last updated: 10 October 2024"
GC-PHTYPAE,"Majors, minors & specialisations Last updated: 5 September 2024"
MC-THTRDRA,"Majors, minors & specialisations Last updated: 30 January 2024"
MR-PHILVET,"Majors, minors & specialisations Last updated: 11 October 2024"
MR-IRCHEM,"Majors, minors & specialisations Last updated: 10 October 2024"
GC-SEXHLTH,"Majors, minors & specialisations Last updated: 30 January 2024"
GD-BUSANA,"Majors, minors & specialisations Last updated: 30 January 2024"
294FN,"Majors, minors & specialisations Last updated: 30 January 2024"
GC-DHW,"Majors, minors & specialisations Last updated: 29 August 2024"
MR-PHILLAW,"Majors, minors & specialisations Last updated: 11 October 2024"
527CN,"Majors, minors & specialisations Last updated: 24 September 2024"
MC-ANAMGT,"Majors, minors & specialisations Last updated: 30 January 2024"
GD-ANAMGT,"Majors, minors & specialisations Last updated: 30 January 2024"
MC-ENVSC,"Majors, minors & specialisations Last updated: 2 February 2024"
MC-DMED,"Majors, minors & specialisations Last updated: 16 October 2024"
GC-ARBCULT,"Majors, minors & specialisations Last updated: 8 February 2024"
GD-PERIMED,"Majors, minors & specialisations Last updated: 8 February 2024"
MC-CU,"Majors, minors & specialisations Last updated: 8 February 2024"
N34AA,"Majors, minors & specialisations Last updated: 8 February 2024"
MC-CLIMSCI,"Majors, minors & specialisations Last updated: 9 October 2024"
N12AA,"Majors, minors & specialisations Last updated: 9 February 2024"
GC-HLTHEEE,"Majors, minors & specialisations Last updated: 9 February 2024"
893AA,"Majors, minors & specialisations Last updated: 9 February 2024"
B-SCIEXT,"Majors, minors & specialisations Last updated: 16 October 2024"
GC-GERON,"Majors, minors & specialisations |*Standard Pathway, Gerontology Nursing*| Prev: Course structure Last updated: 7 October 2024"
MC-ENVSC,"Majors, minors & specialisations Last updated: 2 February 2024"
MC-DMED,"Majors, minors & specialisations Last updated: 16 October 2024"
MC-CU,"Majors, minors & specialisations Last updated: 8 February 2024"
GC-ARBCULT,"Majors, minors & specialisations Last updated: 8 February 2024"
GD-PERIMED,"Majors, minors & specialisations Last updated: 8 February 2024"
N34AA,"Majors, minors & specialisations Last updated: 8 February 2024"
MC-CLIMSCI,"Majors, minors & specialisations Last updated: 9 October 2024"
N12AA,"Majors, minors & specialisations Last updated: 9 February 2024"
GC-HLTHEEE,"Majors, minors & specialisations Last updated: 9 February 2024"
893AA,"Majors, minors & specialisations Last updated: 9 February 2024"
GC-GERON,"Majors, minors & specialisations |*Standard Pathway, Gerontology Nursing*| Prev: Course structure Last updated: 7 October 2024"
SC-GERON,"Majors, minors & specialisations Last updated: 7 October 2024"
B-SCIEXT,"Majors, minors & specialisations Last updated: 16 October 2024"
GC-CNCRNUR,"Majors, minors & specialisations Last updated: 13 February 2024"
MC-GEOG,"Majors, minors & specialisations Last updated: 13 February 2024"
D-MUSIC,"Majors, minors & specialisations Last updated: 28 August 2024"
MC-SCIBIO,"Majors, minors & specialisations Last updated: 13 February 2024"
841AC,"Majors, minors & specialisations Last updated: 13 February 2024"
GC-SCIED10,"Majors, minors & specialisations Last updated: 10 February 2024"
GC-MTHED10,"Majors, minors & specialisations Last updated: 10 February 2024"
MC-ASW,"Majors, minors & specialisations Last updated: 25 October 2024"
GC-GENOHLT,"Majors, minors & specialisations Last updated: 12 March 2024"
M04AA,"Majors, minors & specialisations Last updated: 13 March 2024"
MC-DATASC,"Majors, minors & specialisations Last updated: 14 March 2024"
031AA,"Majors, minors & specialisations Last updated: 20 March 2024"
GC-GARDES,"Majors, minors & specialisations Last updated: 21 March 2024"
GD-URBHORT,"Majors, minors & specialisations Last updated: 21 March 2024"
305BB,"Majors, minors & specialisations Last updated: 21 March 2024"
GC-URBHORT,"Majors, minors & specialisations Last updated: 21 March 2024"
MC-SCM150,"Majors, minors & specialisations Last updated: 23 March 2024"
GD-DATASC,"Majors, minors & specialisations Last updated: 6 September 2024"
MC-FINANCE,"Majors, minors & specialisations Last updated: 29 August 2024"
MC-FINENH,"Majors, minors & specialisations Last updated: 29 August 2024"
MC-COMMGMT,"Majors, minors & specialisations Last updated: 4 April 2024"
MC-ECOSMC,"Majors, minors & specialisations Last updated: 4 April 2024"
MC-COMACT,"Majors, minors & specialisations Last updated: 4 April 2024"
MC-COMFIN,"Majors, minors & specialisations Last updated: 4 April 2024"
MC-COMMKTG,"Majors, minors & specialisations Last updated: 4 April 2024"
MC-COMDRFS,"Majors, minors & specialisations Last updated: 4 April 2024"
GC-MLED,"Majors, minors & specialisations Last updated: 9 April 2024"
MC-SCM150,"Majors, minors & specialisations Last updated: 23 March 2024"
GD-DATASC,"Majors, minors & specialisations Last updated: 6 September 2024"
MC-FINANCE,"Majors, minors & specialisations Last updated: 29 August 2024"
MC-FINENH,"Majors, minors & specialisations Last updated: 29 August 2024"
MC-COMACT,"Majors, minors & specialisations Last updated: 4 April 2024"
MC-COMFIN,"Majors, minors & specialisations Last updated: 4 April 2024"
MC-COMMGMT,"Majors, minors & specialisations Last updated: 4 April 2024"
MC-COMMKTG,"Majors, minors & specialisations Last updated: 4 April 2024"
MC-COMDRFS,"Majors, minors & specialisations Last updated: 4 April 2024"
MC-ECOSMC,"Majors, minors & specialisations Last updated: 4 April 2024"
PR-APPDA,"Majors, minors & specialisations Last updated: 17 April 2024"
GC-APPDA,"Majors, minors & specialisations Last updated: 17 April 2024"
GC-UCH,"Majors, minors & specialisations Last updated: 17 April 2024"
