Subject Name,Subject Code,URL,Level,Credit Points,Offering Info
Research Project A (MMS) Part 2,BMSC90028,https://handbook.unimelb.edu.au/2024/subjects/bmsc90028,Graduate coursework,25 credit points,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2024"
Research Paper (Jazz & Improvisation),MUSI40106,https://handbook.unimelb.edu.au/2024/subjects/musi40106,Honours,18.75 credit points,"Offered Semester 2, 2024"
Crime Prevention: Critical Approaches,CRIM90010,https://handbook.unimelb.edu.au/2024/subjects/crim90010,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
Applied Analytics Lab,BUSA90522,https://handbook.unimelb.edu.au/2024/subjects/busa90522,Graduate coursework,25 credit points,"Offered January, April, 2024"
Advanced Linguistics Analysis A,ARTS90040,https://handbook.unimelb.edu.au/2024/subjects/arts90040,Graduate coursework,6.25 credit points,"Offered Semester 1, Semester 2, 2024"
Nursing/Junior Doctor - Practical,MEDI90136,https://handbook.unimelb.edu.au/2024/subjects/medi90136,Graduate coursework,6.25 credit points,Not offered in 2024
Landscape Design,HORT90034,https://handbook.unimelb.edu.au/2024/subjects/hort90034,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
Population Mental Health,POPH90275,https://handbook.unimelb.edu.au/2024/subjects/poph90275,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
The Print Room,AHIS90004,https://handbook.unimelb.edu.au/2024/subjects/ahis90004,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
Advanced Cost Management,ABPL90129,https://handbook.unimelb.edu.au/2024/subjects/abpl90129,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
Chemistry Research Project Pt 4,CHEM90035,https://handbook.unimelb.edu.au/2024/subjects/chem90035,Graduate coursework,12.5 credit points,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2024"
Diagnostic Radiology Minor Thesis 1,RADI90022,https://handbook.unimelb.edu.au/2024/subjects/radi90022,Graduate coursework,6.25 credit points,"Offered Semester 1, 2024"
Advanced Accounting 1,ACCT90044,https://handbook.unimelb.edu.au/2024/subjects/acct90044,Graduate coursework,12.5 credit points,"Offered Year Long, 2024"
Analysing Ecosystems and Their Values,ENST90044,https://handbook.unimelb.edu.au/2024/subjects/enst90044,Graduate coursework,12.5 credit points,"Offered Semester 1 (Early-Start), 2024"
Bioinformatics Research Project Pt 3,BINF90010,https://handbook.unimelb.edu.au/2024/subjects/binf90010,Graduate coursework,25 credit points,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2024"
Management Systems for Construction,CONS90001,https://handbook.unimelb.edu.au/2024/subjects/cons90001,Graduate coursework,12.5 credit points,"Offered Semester 2, 2024"
Cost Management,ABPL90312,https://handbook.unimelb.edu.au/2024/subjects/abpl90312,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
Advances in Crop Monitoring Methods,AGRI90096,https://handbook.unimelb.edu.au/2024/subjects/agri90096,Graduate coursework,12.5 credit points,"Offered Semester 2, 2024"
French Cinema Research Seminar,FREN40001,https://handbook.unimelb.edu.au/2024/subjects/fren40001,Honours,12.5 credit points,Not offered in 2024
Arabic Studies Thesis Part 2,ARBC40008,https://handbook.unimelb.edu.au/2024/subjects/arbc40008,Honours,25 credit points,"Offered Semester 1, Semester 2, 2024"
Econometrics 2,ECOM90002,https://handbook.unimelb.edu.au/2024/subjects/ecom90002,Graduate coursework,12.5 credit points,"Offered Semester 1, Semester 2, 2024"
Designing Analytics Investigations,POPH90295,https://handbook.unimelb.edu.au/2024/subjects/poph90295,Graduate coursework,12.5 credit points,Not offered in 2024
Discovering Biomedicine,BIOM10001,https://handbook.unimelb.edu.au/2024/subjects/biom10001,Undergraduate Level 1,12.5 credit points,"Offered Semester 1, Semester 2, 2024"
Executive Management 3,BUSA90507,https://handbook.unimelb.edu.au/2024/subjects/busa90507,Graduate coursework,25 credit points,"Offered August, 2024"
Earth Sciences Research Project Pt1,ERTH90035,https://handbook.unimelb.edu.au/2024/subjects/erth90035,Graduate coursework,12.5 credit points,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024"
Geography Research Project Part 1,GEOG90036,https://handbook.unimelb.edu.au/2024/subjects/geog90036,Graduate coursework,12.5 credit points,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024"
Health Innovation & Improvement Project,NURS90002,https://handbook.unimelb.edu.au/2024/subjects/nurs90002,Graduate coursework,12.5 credit points,"Offered Year Long, 2024"
BioSciences Research Project Part 1,BIOL90007,https://handbook.unimelb.edu.au/2024/subjects/biol90007,Graduate coursework,50 credit points,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024"
Special Topics in Early-Modern Art,AHIS40025,https://handbook.unimelb.edu.au/2024/subjects/ahis40025,Honours,12.5 credit points,"Offered Semester 2, 2024"
Ecosystem & Forest Science Research Pt2,ENST40007,https://handbook.unimelb.edu.au/2024/subjects/enst40007,Honours,50 credit points,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2024"
Applied Risk Management,FNCE90082,https://handbook.unimelb.edu.au/2024/subjects/fnce90082,Graduate coursework,12.5 credit points,"Offered Semester 1, Semester 2, 2024"
Research Project in Comp Biology Pt2,SCIE90022,https://handbook.unimelb.edu.au/2024/subjects/scie90022,Graduate coursework,12.5 credit points,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024"
Generating the Wealth of Nations,ECON20013,https://handbook.unimelb.edu.au/2024/subjects/econ20013,Undergraduate Level 2,12.5 credit points,Not offered in 2024
Bioinformatics Research Project Pt 2,BINF90014,https://handbook.unimelb.edu.au/2024/subjects/binf90014,Graduate coursework,25 credit points,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2024"
Musical Perspectives,MUSI10230,https://handbook.unimelb.edu.au/2024/subjects/musi10230,Undergraduate Level 1,12.5 credit points,"Offered Semester 1, 2024"
Physics Research Project Pt1,PHYC40009,https://handbook.unimelb.edu.au/2024/subjects/phyc40009,Undergraduate Level 4,12.5 credit points,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024"
Agricultural Genetics,AGRI10052,https://handbook.unimelb.edu.au/2024/subjects/agri10052,Undergraduate Level 1,12.5 credit points,"Offered Semester 2, 2024"
Criminology Thesis Part 1,CRIM40008,https://handbook.unimelb.edu.au/2024/subjects/crim40008,Honours,25 credit points,"Offered Semester 1, 2024"
Monetary Economics,ECON90011,https://handbook.unimelb.edu.au/2024/subjects/econ90011,Graduate coursework,12.5 credit points,"Offered Semester 2, 2024"
French Thesis Part 1,FREN40010,https://handbook.unimelb.edu.au/2024/subjects/fren40010,Honours,25 credit points,"Offered Semester 1, Semester 2, 2024"
Advanced Hydrological Solutions,ENEN90039,https://handbook.unimelb.edu.au/2024/subjects/enen90039,Graduate coursework,12.5 credit points,Not offered in 2024
Economic Design,ECON40006,https://handbook.unimelb.edu.au/2024/subjects/econ40006,Honours,12.5 credit points,Not offered in 2024
Regional Anaesthesia - Practical,MEDI90139,https://handbook.unimelb.edu.au/2024/subjects/medi90139,Graduate coursework,6.25 credit points,Not offered in 2024
Research and Evidence 1,PHTY90094,https://handbook.unimelb.edu.au/2024/subjects/phty90094,Graduate coursework,6.25 credit points,"Offered Semester 1 (Early-Start), 2024"
Financial Accounting Research,ACCT90019,https://handbook.unimelb.edu.au/2024/subjects/acct90019,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
Particle Physics,PHYC90011,https://handbook.unimelb.edu.au/2024/subjects/phyc90011,Graduate coursework,12.5 credit points,"Offered Semester 2, 2024"
Study Design in Clinical Research,CLRS90011,https://handbook.unimelb.edu.au/2024/subjects/clrs90011,Graduate coursework,12.5 credit points,"Offered March, 2024"
Property Research and Analysis,ABPL90363,https://handbook.unimelb.edu.au/2024/subjects/abpl90363,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
BioSciences Research Project Pt 4(Cont.),BIOL90034,https://handbook.unimelb.edu.au/2024/subjects/biol90034,Graduate coursework,37.5 credit points,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024"
Animal Disease Biotechnology 2,ANSC30002,https://handbook.unimelb.edu.au/2024/subjects/ansc30002,Undergraduate Level 3,12.5 credit points,"Offered Semester 2, 2024"
Energy Systems Project,ENGR90031,https://handbook.unimelb.edu.au/2024/subjects/engr90031,Graduate coursework,25 credit points,"Offered Semester 1, Semester 2, 2024"
Aerospace Dynamics and Control,MCEN90045,https://handbook.unimelb.edu.au/2024/subjects/mcen90045,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
Clinical Placement 1,PSYC90012,https://handbook.unimelb.edu.au/2024/subjects/psyc90012,Graduate coursework,12.5 credit points,"Offered Year Long, 2024"
Lean Construction,ABPL90414,https://handbook.unimelb.edu.au/2024/subjects/abpl90414,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
BioSciences Research Project Pt 4(Cont.),BIOL90032,https://handbook.unimelb.edu.au/2024/subjects/biol90032,Graduate coursework,12.5 credit points,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024"
Screen Thinking 1,FLTV90047,https://handbook.unimelb.edu.au/2024/subjects/fltv90047,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
Design and Construction,ABPL90287,https://handbook.unimelb.edu.au/2024/subjects/abpl90287,Graduate coursework,12.5 credit points,"Offered Semester 2, 2024"
Chemical Engineering Thermodynamics,CHEN90007,https://handbook.unimelb.edu.au/2024/subjects/chen90007,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
Musculoskeletal Ultrasound,MEDI90118,https://handbook.unimelb.edu.au/2024/subjects/medi90118,Graduate coursework,6.25 credit points,Not offered in 2024
Research Project B (Psych) Part 2,BMSC90034,https://handbook.unimelb.edu.au/2024/subjects/bmsc90034,Graduate coursework,50 credit points,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2024"
Dance Lab 1: Studio Practices,DNCE10030,https://handbook.unimelb.edu.au/2024/subjects/dnce10030,Undergraduate Level 1,18.75 credit points,"Offered Semester 1, 2024"
Computational Geotechnical Engineering,CVEN90074,https://handbook.unimelb.edu.au/2024/subjects/cven90074,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
Korean 5,KORE10005,https://handbook.unimelb.edu.au/2024/subjects/kore10005,Undergraduate Level 1,12.5 credit points,"Offered Semester 1, 2024"
Physiotherapy Research in Practice,PHTY40012,https://handbook.unimelb.edu.au/2024/subjects/phty40012,Honours,12.5 credit points,"Offered Semester 1, 2024"
Translating in a Chinese Context,TRAN90008,https://handbook.unimelb.edu.au/2024/subjects/tran90008,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
Earth Sciences Research Project Pt 6,ERTH90065,https://handbook.unimelb.edu.au/2024/subjects/erth90065,Graduate coursework,37.5 credit points,Not offered in 2024
World Economic History,ECON90056,https://handbook.unimelb.edu.au/2024/subjects/econ90056,Graduate coursework,12.5 credit points,"Offered Semester 2, 2024"
Language Assessment,LING90009,https://handbook.unimelb.edu.au/2024/subjects/ling90009,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
Nursing Science 3,NURS90052,https://handbook.unimelb.edu.au/2024/subjects/nurs90052,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
Clinical Elective,MEDS90027,https://handbook.unimelb.edu.au/2024/subjects/meds90027,Graduate coursework,0 credit points,"Offered May, November, 2024"
Exploring Neural Circuits and Systems,BMSC90020,https://handbook.unimelb.edu.au/2024/subjects/bmsc90020,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
Music Theatre Studio 3,MUST20013,https://handbook.unimelb.edu.au/2024/subjects/must20013,Undergraduate Level 2,25 credit points,"Offered Semester 1 (Early-Start), 2024"
Screen Practice 3B,FLTV30027,https://handbook.unimelb.edu.au/2024/subjects/fltv30027,Undergraduate Level 3,37.5 credit points,"Offered Semester 2 (Early-Start), 2024"
Professional Practice - Part 2,POPH90287,https://handbook.unimelb.edu.au/2024/subjects/poph90287,Graduate coursework,12.5 credit points,"Offered Semester 1, Semester 2, 2024"
Topics in Japanese Studies,JAPN40003,https://handbook.unimelb.edu.au/2024/subjects/japn40003,Honours,12.5 credit points,"Offered Semester 1, 2024"
Principles of Medicine & Surgery 3 PtA,VETS90056,https://handbook.unimelb.edu.au/2024/subjects/vets90056,Graduate coursework,6.25 credit points,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024"
Research Project in Comp Biol Pt2(cont.),SCIE90033,https://handbook.unimelb.edu.au/2024/subjects/scie90033,Graduate coursework,12.5 credit points,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024"
Advanced Clinical Practice 1,DENT90035,https://handbook.unimelb.edu.au/2024/subjects/dent90035,Graduate coursework,25 credit points,"Offered Year Long, 2024"
Introduction to Action Research,ARTS90003,https://handbook.unimelb.edu.au/2024/subjects/arts90003,Graduate coursework,6.25 credit points,"Offered Semester 2, 2024"
Ecosystem & Forest Science Research Pt1,ENST40003,https://handbook.unimelb.edu.au/2024/subjects/enst40003,Honours,37.5 credit points,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024"
Business Tools: Money People & Processes,BUSA90403,https://handbook.unimelb.edu.au/2024/subjects/busa90403,Graduate coursework,12.5 credit points,"Offered September, 2024"
Fundamentals of Portfolio Management,FNCE90051,https://handbook.unimelb.edu.au/2024/subjects/fnce90051,Graduate coursework,12.5 credit points,"Offered June, 2024"
M.Epidemiology Research Project Part 2,POPH90277,https://handbook.unimelb.edu.au/2024/subjects/poph90277,Graduate coursework,12.5 credit points,"Offered Semester 1, Semester 2, 2024"
Agric.Science Research Project Part 1,AGRI40017,https://handbook.unimelb.edu.au/2024/subjects/agri40017,Honours,25 credit points,"Offered Semester 1 (Extended), 2024"
Advanced Clinical Skills 1 Part A,VETS90046,https://handbook.unimelb.edu.au/2024/subjects/vets90046,Graduate coursework,18.75 credit points,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024"
Research in Management Accounting,ACCT40002,https://handbook.unimelb.edu.au/2024/subjects/acct40002,Honours,12.5 credit points,"Offered Semester 1, 2024"
Screen Thinking 2,FLTV90048,https://handbook.unimelb.edu.au/2024/subjects/fltv90048,Graduate coursework,12.5 credit points,"Offered Semester 2, 2024"
Leadership in Clinical Education,EDUC90836,https://handbook.unimelb.edu.au/2024/subjects/educ90836,Graduate coursework,12.5 credit points,"Offered March, 2024"
Earth Sciences Research Project Pt 5,ERTH90056,https://handbook.unimelb.edu.au/2024/subjects/erth90056,Graduate coursework,25 credit points,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2024"
Advances in Oral Health Research,DENT40003,https://handbook.unimelb.edu.au/2024/subjects/dent40003,Honours,12.5 credit points,"Offered Semester 1, Semester 2, 2024"
Agriculture Discovery,AGRI10053,https://handbook.unimelb.edu.au/2024/subjects/agri10053,Undergraduate Level 1,0 credit points,"Offered February, 2024"
Child Public Health,PAED90005,https://handbook.unimelb.edu.au/2024/subjects/paed90005,Graduate coursework,12.5 credit points,"Offered July, 2024"
Computer Science Research Project Part 4,COMP90081,https://handbook.unimelb.edu.au/2024/subjects/comp90081,Graduate coursework,25 credit points,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2024"
Behaviour of Farm & Companion Animals,ANSC90005,https://handbook.unimelb.edu.au/2024/subjects/ansc90005,Graduate coursework,12.5 credit points,"Offered May, 2024"
LAL Thesis Part 1,LING40015,https://handbook.unimelb.edu.au/2024/subjects/ling40015,Honours,25 credit points,"Offered Semester 1, Semester 2, 2024"
The Eye and Vision: A Window to Disease,OPTO90018,https://handbook.unimelb.edu.au/2024/subjects/opto90018,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
Spanish & Latin American Thesis Part 1,SPAN40007,https://handbook.unimelb.edu.au/2024/subjects/span40007,Honours,25 credit points,"Offered Semester 1, Semester 2, 2024"
Chemistry Research Project Pt 2,CHEM90028,https://handbook.unimelb.edu.au/2024/subjects/chem90028,Graduate coursework,25 credit points,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024"
Asian Studies Thesis Part 1,ASIA40004,https://handbook.unimelb.edu.au/2024/subjects/asia40004,Honours,25 credit points,"Offered Semester 1, Semester 2, 2024"
Japanese Thesis Part 2,JAPN40009,https://handbook.unimelb.edu.au/2024/subjects/japn40009,Honours,25 credit points,"Offered Semester 1, Semester 2, 2024"
Professional Psychology Skills 1,PSYC90113,https://handbook.unimelb.edu.au/2024/subjects/psyc90113,Graduate coursework,18.75 credit points,"Offered Semester 2, 2024"
Property Law (PG),ABPL90041,https://handbook.unimelb.edu.au/2024/subjects/abpl90041,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
Australian Agriculture,AGRI90097,https://handbook.unimelb.edu.au/2024/subjects/agri90097,Graduate coursework,12.5 credit points,"Offered February, 2024"
Chemistry Research Project Pt 1,CHEM90023,https://handbook.unimelb.edu.au/2024/subjects/chem90023,Graduate coursework,12.5 credit points,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024"
Professionalism and Clinical Processes B,AUDI90056,https://handbook.unimelb.edu.au/2024/subjects/audi90056,Graduate coursework,12.5 credit points,"Offered Semester 2, 2024"
Research Studies in Vision and Optometry,OPTO90025,https://handbook.unimelb.edu.au/2024/subjects/opto90025,Graduate coursework,25 credit points,"Offered Year Long, 2024"
Info Systems Capstone Research Proj Pt 1,ISYS90109,https://handbook.unimelb.edu.au/2024/subjects/isys90109,Graduate coursework,12.5 credit points,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024"
Special Topics in Finance B,FNCE90044,https://handbook.unimelb.edu.au/2024/subjects/fnce90044,Graduate coursework,6.25 credit points,"Offered April, 2024"
Chemistry Research Project Pt 3,CHEM90031,https://handbook.unimelb.edu.au/2024/subjects/chem90031,Graduate coursework,12.5 credit points,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024"
Inter-disciplinary Project,DNCE30027,https://handbook.unimelb.edu.au/2024/subjects/dnce30027,Undergraduate Level 3,25 credit points,"Offered Semester 1, 2024"
Research Project B (MMS) Part 1,BMSC90029,https://handbook.unimelb.edu.au/2024/subjects/bmsc90029,Graduate coursework,37.5 credit points,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024"
